,depature_date,hotel_name,reg,types,room-type,Sales Person ,sales
0,2024-01-04,"Le Méridien, Sabah",East,Resort Hotel ,Deluxe Room,Derek,697.5
1,2024-01-04,"Le Méridien, Sabah",East,Resort Hotel ,Single Room,Leo,542.5
2,2024-01-04,"Lexis Suites, Penang",North,City Hotel ,Deluxe Room,Amy,657.5
3,2024-01-04,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Amy,1987.5
4,2024-01-04,"The Hilton, Kuala Lumpur",Central,City Hotel ,Single Room,Derek,542.5
5,2024-01-04,"The Hilton, Kuala Lumpur",Central,City Hotel ,Single Room,Leo,515.0
6,2024-01-04,"The Hilton, Kuala Lumpur",Central,City Hotel ,Studio,Amy,1627.5
7,2024-01-04,"The Hilton, Kuala Lumpur",Central,City Hotel ,Studio,Leo,1545.0
8,2024-01-06,"Le Méridien, Sabah",East,Resort Hotel ,Single Room,Amy,1627.5
9,2024-01-06,"Le Méridien, Sabah",East,Resort Hotel ,Studio,Derek,4695.0
10,2024-01-06,"Le Méridien, Sabah",East,Resort Hotel ,Studio,Leo,4695.0
11,2024-01-06,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Derek,1875.0
12,2024-01-09,"Le Méridien, Sabah",East,Resort Hotel ,Single Room,Amy,1085.0
13,2024-01-09,"Le Méridien, Sabah",East,Resort Hotel ,Single Room,Derek,1030.0
14,2024-01-09,"Le Méridien, Sabah",East,Resort Hotel ,Single Room,Leo,1085.0
15,2024-01-09,"Lexis Suites, Penang",North,City Hotel ,Single Room,Derek,1085.0
16,2024-01-09,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Derek,2580.0
17,2024-01-09,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Leo,1290.0
18,2024-01-10,"Le Méridien, Sabah",East,Resort Hotel ,Deluxe Room,Amy,5000.0
19,2024-01-10,"Le Méridien, Sabah",East,Resort Hotel ,Deluxe Room,Derek,5160.0
20,2024-01-10,"Le Méridien, Sabah",East,Resort Hotel ,Deluxe Room,Leo,657.5
21,2024-01-10,"Le Méridien, Sabah",East,Resort Hotel ,Studio,Derek,9270.0
22,2024-01-10,"Lexis Suites, Penang",North,City Hotel ,Deluxe Room,Amy,3125.0
